country,year,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,population,Code,gdp_per_capita,renewable_energy_consumption,co2_intensity_gdp,co2_growth,gdp_growth,renewable_growth,renewable_share
Malaysia,1998,109.782,5.011,6.284,59.701,35.94,21906667,MYS,16817.172,2.4977875,0.006527970338889321,-0.07334284339627428,-0.09607034077858745,0.11123392472053184,0.022246101062490878
Malaysia,1999,103.987,4.635,5.207,52.824,37.959,22435483,MYS,17428.625,3.9647648,0.005966448873620266,-0.05278643129110416,0.03635884796801747,0.5873106899606153,0.036727188363668145
Malaysia,2000,122.878,5.35,7.874,56.153,49.671,22967760,MYS,18532.91,3.471553,0.006630259360240783,0.18166693913662302,0.063360419998709,-0.12439875374196219,0.027475783788487168
Malaysia,2001,130.89,5.564,9.93,63.481,48.582,23526494,MYS,18186.441,2.964407,0.0071971200962299324,0.06520288416152598,-0.018694797525051432,-0.14608620407062778,0.02214650280434921
Malaysia,2002,132.035,5.478,12.546,60.705,49.024,24102434,MYS,18708.87,2.4419253,0.007057347664503522,0.00874780349912152,0.028726291196831788,-0.1762516752929001,0.01815869372795661
Malaysia,2003,153.384,6.215,18.214,62.222,61.881,24679556,MYS,19329.006,2.1235485,0.007935431340856326,0.16169197561252702,0.03314663044855215,-0.13037941824018928,0.013655597560911973
Malaysia,2004,169.678,6.718,31.719,67.615,59.218,25256718,MYS,20168.506,2.1898427,0.00841301780112022,0.10623011526625992,0.043432135103067315,0.031218594724820248,0.012741433566617987
Malaysia,2005,169.967,6.579,26.11,68.799,64.08,25836027,MYS,20767.586,2.1547606,0.008184244427830948,0.001703226110633116,0.029703737103779382,-0.016020374431460205,0.01251881570632737
Malaysia,2006,170.166,6.441,26.626,62.325,69.546,26417859,MYS,21444.486,2.242483,0.007935186695544952,0.0011708155112462038,0.03259406268980913,0.04071097271780455,0.01300680199129181
Malaysia,2007,175.451,6.499,29.934,68.827,65.438,26998333,MYS,22305.12,2.0632105,0.007865951853206798,0.0310579081602671,0.04013311393893981,-0.07994374985228436,0.011622790615965925
Malaysia,2008,192.847,6.995,38.037,70.211,72.633,27569998,MYS,22898.002,2.5269666,0.008422001185955002,0.09915019008156123,0.026580533976055865,0.22477401118305695,0.012933998546354948
Malaysia,2009,192.119,6.831,46.591,68.612,65.443,28124726,MYS,22106.643,2.4878314,0.008690555142180565,-0.0037750133525541463,-0.03456017690975832,-0.015487027014919774,0.012783885242375927
Malaysia,2010,199.346,6.957,55.337,73.375,60.808,28655721,MYS,23307.97,2.2016032,0.008552696781401383,0.03761731010467462,0.05434235311078228,-0.11505128522776908,0.010923489860682204
Malaysia,2011,203.452,6.977,55.544,71.753,64.784,29161977,MYS,24115.818,2.7034724,0.008436454446620886,0.02059735334543955,0.034659732271836496,0.22795624570313122,0.013113755208760588
Malaysia,2012,212.99,7.18,59.87,74.277,66.289,29662784,MYS,25006.36,2.8766632,0.008517433165002824,0.04688083675756438,0.03692771275683038,0.06406235181095243,0.013326111393748546
Malaysia,2013,241.671,8.009,57.989,87.213,82.274,30174221,MYS,25736.354,3.3276143,0.009390257843049563,0.1346589041739048,0.029192333470364984,0.15676186909889211,0.013582176003352197
Malaysia,2014,245.05,7.983,57.866,88.718,82.562,30696080,MYS,26818.432,3.6789017,0.00913737238627523,0.013981818257051915,0.04204472785849944,0.10556734294596581,0.014790809089155399
Malaysia,2015,235.938,7.554,66.751,76.189,77.211,31232744,MYS,27699.627,3.8489833,0.00851773202577782,-0.037184248112630214,0.03285781211966454,0.04623162396538083,0.01605167739728598
Malaysia,2016,237.294,7.464,71.521,77.292,73.525,31789641,MYS,28425.371,4.960742,0.00834796492190023,0.005747272588561447,0.02620049721247142,0.288844771033431,0.02047737831278448
Malaysia,2017,244.457,7.555,78.957,80.88,70.427,32355608,MYS,29551.545,6.3118143,0.008272224007238878,0.030186182541488638,0.03961862098475333,0.27235286576080764,0.025169853427025594
Malaysia,2018,262.643,7.98,84.586,80.676,84.26,32910918,MYS,30459.965,6.331725,0.008622564077141914,0.07439345160907629,0.030740186342203213,0.003154512958342126,0.02354022297076426
Malaysia,2019,279.842,8.368,80.135,96.924,89.764,33440538,MYS,31300.508,6.430763,0.008940493873134583,0.06548432663349124,0.027595008727029136,0.015641551078102722,0.02246376124856838
Malaysia,2020,263.199,7.766,94.07,69.539,83.744,33889515,MYS,29200.453,7.1748385,0.009013524550458172,-0.05947284539132791,-0.0670933200189594,0.11570563244206022,0.026536733508704464
Malaysia,2021,273.152,7.968,86.461,73.878,97.599,34282367,MYS,29822.85,7.645544,0.009159151456014432,0.03781549321995903,0.02131463508459941,0.0656050306916316,0.027227958945395907
Malaysia,2022,285.448,8.227,85.389,87.06,98.726,34695445,MYS,32079.152,7.832597,0.00889824020285823,0.04501522961574511,0.07565682018988795,0.02446562337487035,0.026706836661274252
Malaysia,2023,288.824,8.222,88.601,96.717,87.563,35126249,MYS,32812.3,8.116639,0.008802308890263712,0.011827022785235952,0.02285434477819126,0.03626408967549333,0.027334214095228637
Mexico,1990,316.746,3.825,15.895,235.642,52.923,82820134,MEX,17375.404,6.3846393,0.01822956174141332,,,,0.0197586936163995
Mexico,1991,329.827,3.906,15.51,246.532,55.268,84430515,MEX,17721.645,5.9843874,0.018611534087270114,0.041298074798103324,0.019927076227983065,-0.06268982180402893,0.017820680371603146
Mexico,1992,332.453,3.864,14.806,248.72,55.612,86044763,MEX,18009.732,6.8360877,0.01845963060416446,0.007961749644510574,0.016256222263790976,0.14232038186565266,0.020148268682441333
Mexico,1993,337.722,3.853,18.203,249.797,55.066,87653764,MEX,18186.0,6.8284926,0.018570438799076213,0.015848856830890323,0.009787374959272066,-0.001111030216888631,0.01981855416450506
Mexico,1994,351.534,3.938,20.247,258.052,56.902,89259151,MEX,18643.654,5.1814713,0.018855423942109203,0.04089754294952663,0.025165182008138,-0.24119837224397078,0.014525502022990053
Mexico,1995,330.905,3.642,22.266,237.244,56.92,90862395,MEX,17232.238,6.739381,0.019202671179448655,-0.05868280166356599,-0.07570490205407143,0.30066936779134523,0.01995999749807772
Mexico,1996,341.544,3.694,25.197,236.842,62.745,92452649,MEX,17988.953,7.22658,0.018986318992550592,0.032151221649718176,0.043912752365653285,0.07229135732198566,0.02072015363222437
Mexico,1997,362.462,3.855,25.574,252.202,65.772,94021166,MEX,18962.25,6.0748744,0.019114925707656,0.06124540322769545,0.05410526115666636,-0.15937076736160127,0.016483762743932363
Mexico,1998,381.102,3.987,26.267,264.274,71.088,95575200,MEX,19807.688,5.5740952,0.019240105155129666,0.0514260805270621,0.04458532083481637,-0.08243449444814843,0.014415411940882765
Mexico,1999,386.04,3.975,26.003,271.403,69.803,97115654,MEX,20030.547,6.8996468,0.019272564049299307,0.0129571610749879,0.011251136427431696,0.23780569804405194,0.01755904973241809
Mexico,2000,391.439,3.969,26.7,263.874,81.202,98625515,MEX,20715.873,6.6645803,0.018895607247640493,0.013985597347425216,0.03421404318114729,-0.03406935265150102,0.016740819801162685
Mexico,2001,407.485,4.071,30.638,275.577,82.887,100099057,MEX,20318.896,5.9095926,0.020054485243686467,0.0409923385252875,-0.019162938486830816,-0.11328360767143886,0.014295282777726395
Mexico,2002,410.301,4.04,34.701,265.359,92.171,101548570,MEX,19981.475,5.124882,0.020534069682042994,0.006910683828852626,-0.01660626640345042,-0.13278590473394047,0.012336453317080519
Mexico,2003,435.969,4.234,42.458,273.195,101.903,102978472,MEX,19937.625,4.4104505,0.021866646604096526,0.06255895062405403,-0.002194532685900197,-0.13940447799578615,0.01001511422704316
Mexico,2004,438.588,4.201,37.882,276.736,105.647,104394075,MEX,20368.49,4.989392,0.021532671297675967,0.006007307859045019,0.0216106482091023,0.13126584234422323,0.011248075510575163
Mexico,2005,463.432,4.38,46.808,291.123,105.516,105811451,MEX,20520.318,5.004691,0.022584055471265116,0.056645416655266345,0.007454062623198698,0.0030663054736930206,0.010683815115584104
Mexico,2006,474.519,4.424,50.288,284.689,117.937,107253625,MEX,21217.143,5.1775947,0.02236488673333634,0.02392368243884757,0.03395780708661533,0.03454832675983388,0.010793478121807481
